#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	100	0.20000000000000015	-389.15419115966245	197.7377116213404	0	0.00023293495178222656	--
0.4%	200	0.4000000000000003	-393.48780932372495	242.8415922149085	473	0.03656792640686035	0:18
0.6%	300	0.6000000000000004	-390.44035448974057	307.96405630737996	460	0.07523608207702637	0:18
0.8%	400	0.8000000000000006	-392.3582316870062	348.5105287474053	447	0.11591386795043945	0:19
1.0%	500	1.0000000000000007	-384.72657885497495	343.76902323324146	455	0.15206480026245117	0:18
1.2%	600	1.2000000000000008	-363.83293261474057	331.90736792322065	457	0.18893885612487793	0:18
1.4%	700	1.400000000000001	-388.31572070067807	388.33197009688433	457	0.22707486152648926	0:18
1.6%	800	1.6000000000000012	-388.70326342528745	358.59898384287675	456	0.26550912857055664	0:18
1.8%	900	1.8000000000000014	-378.7912150854437	280.9919591697856	458	0.3021538257598877	0:18
2.0%	1000	2.0000000000000013	-366.66752734130307	294.0818534779076	458	0.3397688865661621	0:18
2.2%	1100	2.1999999999999793	-377.9920512670843	368.1835446190551	457	0.37795495986938477	0:18
2.4%	1200	2.3999999999999573	-363.71818652099057	252.67606833614465	459	0.41442084312438965	0:18
2.6%	1300	2.5999999999999353	-367.6452495092718	262.1680043897858	461	0.4497029781341553	0:18
2.8%	1400	2.7999999999999132	-378.1771098608343	284.7776328139646	463	0.4851808547973633	0:18
3.0%	1500	2.999999999999891	-360.91285815184995	309.91176353369224	464	0.521533727645874	0:18
3.2%	1600	3.199999999999869	-350.8621379370062	266.94696683691745	466	0.556427001953125	0:17
3.4%	1700	3.399999999999847	-357.71058764403745	331.3206073981372	467	0.5923149585723877	0:17
3.6%	1800	3.599999999999825	-372.9647990698187	302.6149602108276	469	0.6267428398132324	0:17
3.8%	1900	3.799999999999803	-355.99418749755307	191.58165854980575	469	0.6636440753936768	0:17
4.0%	2000	3.999999999999781	-374.74989428466245	321.56096479263755	469	0.6998200416564941	0:17
4.2%	2100	4.1999999999997595	-390.8327189916937	453.06140229560003	470	0.7351338863372803	0:17
4.4%	2200	4.3999999999997375	-371.27601733153745	308.59034064735596	470	0.7724220752716064	0:17
4.6%	2300	4.599999999999715	-374.5366984838812	266.242532638749	470	0.8097188472747803	0:17
4.8%	2400	4.799999999999693	-396.9179240698187	320.2039305188361	471	0.8443918228149414	0:17
5.0%	2500	4.999999999999671	-371.4038859838812	287.5150585969194	470	0.8824069499969482	0:17
5.2%	2600	5.199999999999649	-372.35560717528745	234.3998138444198	470	0.9188258647918701	0:17
5.4%	2700	5.399999999999627	-385.1087199682562	343.86591416304185	469	0.9569897651672363	0:17
5.6%	2800	5.599999999999605	-372.73832812255307	291.9168639003024	469	0.9943678379058838	0:17
5.8%	2900	5.799999999999583	-358.64164843505307	251.52348123101237	469	1.0310139656066895	0:17
6.0%	3000	5.999999999999561	-361.66908373778745	317.4547207369778	469	1.0691077709197998	0:17
6.2%	3100	6.199999999999539	-360.4199992651312	363.29867140954866	469	1.105752944946289	0:17
6.4%	3200	6.399999999999517	-362.29823412841245	337.0562955738814	469	1.1430487632751465	0:17
6.6%	3300	6.599999999999495	-367.4110881323187	315.97206385541233	469	1.1798360347747803	0:17
6.8%	3400	6.799999999999473	-358.3329631323187	292.28363513861194	469	1.216737985610962	0:17
7.0%	3500	6.999999999999451	-346.66236987059995	329.4471652621751	469	1.2530848979949951	0:17
7.2%	3600	7.199999999999429	-357.51200976317807	332.5743503260548	468	1.2910540103912354	0:17
7.4%	3700	7.399999999999407	-350.6092387670843	324.05820489289766	467	1.3307979106903076	0:17
7.6%	3800	7.599999999999385	-380.65113940184995	399.39477835076474	467	1.3678147792816162	0:17
7.8%	3900	7.799999999999363	-367.93824877684995	445.7428289674505	467	1.4047877788543701	0:17
8.0%	4000	7.999999999999341	-328.69841113036557	305.40835316328804	467	1.442302942276001	0:17
8.2%	4100	8.199999999999408	-339.96904101317807	395.6802363183905	467	1.4810569286346436	0:16
8.4%	4200	8.399999999999475	-343.65199389403745	288.63691225868166	467	1.5171167850494385	0:16
8.6%	4300	8.599999999999541	-383.7036906713812	349.9974688621125	467	1.553682804107666	0:16
8.8%	4400	8.799999999999608	-373.60389819091245	306.60045333012636	468	1.5888900756835938	0:16
9.0%	4500	8.999999999999675	-364.9496623510687	254.52697693084065	465	1.6359128952026367	0:16
9.2%	4600	9.199999999999742	-372.6158000463812	256.11696626551577	464	1.6752490997314453	0:16
9.4%	4700	9.399999999999809	-375.34428515380307	303.6979810694096	465	1.7109401226043701	0:16
9.6%	4800	9.599999999999875	-358.57487597411557	224.00827720424164	464	1.7517218589782715	0:16
9.8%	4900	9.799999999999942	-361.5434428686468	312.5113550915964	463	1.7921688556671143	0:16
10.0%	5000	10.000000000000009	-364.8027202123968	389.13484522201196	463	1.8285150527954102	0:16
10.2%	5100	10.200000000000076	-361.04325976317807	369.76176375474927	463	1.8669018745422363	0:16
10.4%	5200	10.400000000000142	-370.9666606420843	397.423206219218	463	1.9046709537506104	0:16
10.6%	5300	10.60000000000021	-349.9002238745062	361.45734121572565	463	1.9407668113708496	0:16
10.8%	5400	10.800000000000276	-360.0561381811468	434.57887325437434	463	1.976820945739746	0:16
11.0%	5500	11.000000000000343	-348.70134081786557	340.5608575945637	463	2.0153799057006836	0:16
11.2%	5600	11.20000000000041	-373.87709155028745	373.4177537308035	463	2.051651954650879	0:16
11.4%	5700	11.400000000000476	-375.25611987059995	281.44444083171425	463	2.088679790496826	0:16
11.6%	5800	11.600000000000543	-391.05128588622495	246.5564118587142	464	2.1234560012817383	0:16
11.8%	5900	11.80000000000061	-376.20231738036557	263.53224288036137	464	2.1605989933013916	0:16
12.0%	6000	12.000000000000677	-376.74293627684995	292.21661476870497	464	2.1979029178619385	0:16
12.2%	6100	12.200000000000744	-364.41105761474057	238.1232776798853	464	2.23624587059021	0:16
12.4%	6200	12.40000000000081	-375.7923137182562	284.7316213626982	464	2.272392749786377	0:16
12.6%	6300	12.600000000000877	-354.8234416479437	263.5350961189187	464	2.3099586963653564	0:16
12.8%	6400	12.800000000000944	-354.9418803686468	305.18567068121575	464	2.3461930751800537	0:16
13.0%	6500	13.00000000000101	-368.3987895483343	408.12595023616734	464	2.3844521045684814	0:16
13.2%	6600	13.200000000001078	-370.0313579077093	365.35109221013903	464	2.419890880584717	0:16
13.4%	6700	13.400000000001144	-376.10926928466245	381.6071566623896	464	2.456296920776367	0:16
13.6%	6800	13.600000000001211	-367.14079394286557	389.81718086024307	465	2.4907398223876953	0:16
13.8%	6900	13.800000000001278	-367.5718547338812	359.96713959981366	465	2.5269219875335693	0:16
14.0%	7000	14.000000000001345	-376.5070353979437	429.2077236268532	465	2.564065933227539	0:15
14.2%	7100	14.200000000001411	-351.19777026122495	353.23561677434344	465	2.6028499603271484	0:15
14.4%	7200	14.400000000001478	-349.26164355224057	361.00959256883414	465	2.639763832092285	0:15
14.6%	7300	14.600000000001545	-367.6262980932562	455.4053288393659	465	2.675920009613037	0:15
14.8%	7400	14.800000000001612	-333.67311205809995	299.2429834562967	465	2.7115209102630615	0:15
15.0%	7500	15.000000000001679	-334.39079394286557	384.7615181350257	465	2.748194932937622	0:15
15.2%	7600	15.200000000001745	-378.3491984838812	481.36290202027106	465	2.7849597930908203	0:15
15.4%	7700	15.400000000001812	-351.4384623998968	278.6298716888233	466	2.820931911468506	0:15
15.6%	7800	15.600000000001879	-369.50700488036557	318.5203862960567	465	2.859471082687378	0:15
15.8%	7900	15.800000000001946	-374.52906908934995	365.46277471549666	465	2.8970820903778076	0:15
16.0%	8000	16.00000000000201	-349.3812114233343	238.68519189224662	465	2.934145927429199	0:15
16.2%	8100	16.2000000000019	-371.20561327880307	322.67143859608876	465	2.9745919704437256	0:15
16.4%	8200	16.40000000000179	-356.71815600341245	247.42864033223432	465	3.012969970703125	0:15
16.6%	8300	16.60000000000168	-365.7492228979437	263.36840661399975	465	3.048374891281128	0:15
16.8%	8400	16.800000000001567	-353.72413744872495	250.89243176578958	465	3.084690809249878	0:15
17.0%	8500	17.000000000001457	-380.1963664526312	366.73663312160653	465	3.1234748363494873	0:15
17.2%	8600	17.200000000001346	-375.9115764135687	257.5057689768876	465	3.161388874053955	0:15
