#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	100	0.20000000000000015	696.5672607421875	218.6892591769634	0	0.00024890899658203125	--
0.4%	200	0.4000000000000003	741.53515625	212.93348612244534	1.2e+03	0.01439976692199707	0:07
0.6%	300	0.6000000000000004	764.8720092773438	263.97063383710486	1.24e+03	0.027916908264160156	0:06
0.8%	400	0.8000000000000006	807.557373046875	258.21442259023695	1.28e+03	0.040550947189331055	0:06
1.0%	500	1.0000000000000007	867.9979248046875	286.7406365738385	1.27e+03	0.054582834243774414	0:06
1.2%	600	1.2000000000000008	882.9873657226562	281.5049665512102	1.29e+03	0.06724095344543457	0:06
1.4%	700	1.400000000000001	896.604248046875	282.6525524649502	1.3e+03	0.07983613014221191	0:06
1.6%	800	1.6000000000000012	886.9905395507812	277.09994291589095	1.31e+03	0.09251594543457031	0:06
1.8%	900	1.8000000000000014	870.4440307617188	279.08059717028164	1.3e+03	0.10609984397888184	0:06
2.0%	1000	2.0000000000000013	890.191162109375	276.4496508659271	1.3e+03	0.1199178695678711	0:06
2.2%	1100	2.1999999999999793	861.9290771484375	286.88194906326754	1.29e+03	0.13402795791625977	0:06
2.4%	1200	2.3999999999999573	888.176025390625	312.1367086960396	1.29e+03	0.1468980312347412	0:06
2.6%	1300	2.5999999999999353	932.908203125	297.47177608389563	1.31e+03	0.1589348316192627	0:06
2.8%	1400	2.7999999999999132	913.6774291992188	281.98804792917804	1.3e+03	0.1726686954498291	0:06
3.0%	1500	2.999999999999891	845.172119140625	283.9868356403997	1.3e+03	0.18677401542663574	0:06
3.2%	1600	3.199999999999869	863.4236450195312	288.2763795782033	1.3e+03	0.198868989944458	0:06
3.4%	1700	3.399999999999847	901.7947387695312	289.23255751607127	1.31e+03	0.2114720344543457	0:06
3.6%	1800	3.599999999999825	912.8656616210938	284.0997620402568	1.3e+03	0.2257399559020996	0:06
3.8%	1900	3.799999999999803	876.618896484375	283.3207669070528	1.31e+03	0.23837590217590332	0:06
4.0%	2000	3.999999999999781	849.5828857421875	308.01411971338496	1.31e+03	0.2510209083557129	0:06
4.2%	2100	4.1999999999997595	874.220458984375	298.6153591352612	1.3e+03	0.2656590938568115	0:06
4.4%	2200	4.3999999999997375	880.7113037109375	283.6006856790996	1.3e+03	0.2796039581298828	0:06
4.6%	2300	4.599999999999715	856.6619873046875	293.7325705115277	1.29e+03	0.2938227653503418	0:06
4.8%	2400	4.799999999999693	944.1282348632812	314.71939915925196	1.3e+03	0.3064079284667969	0:06
5.0%	2500	4.999999999999671	915.3079833984375	335.87199658366416	1.29e+03	0.32031774520874023	0:06
5.2%	2600	5.199999999999649	936.0060424804688	346.33173009198424	1.3e+03	0.3331599235534668	0:06
5.4%	2700	5.399999999999627	925.8480224609375	332.69876868383403	1.3e+03	0.3457608222961426	0:06
5.6%	2800	5.599999999999605	965.733642578125	277.9568048044991	1.3e+03	0.3583967685699463	0:06
5.8%	2900	5.799999999999583	938.223388671875	310.9296165047758	1.3e+03	0.3709900379180908	0:06
6.0%	3000	5.999999999999561	912.1302490234375	301.28231623996584	1.3e+03	0.3848888874053955	0:06
6.2%	3100	6.199999999999539	913.6326904296875	261.0784065674296	1.3e+03	0.39809393882751465	0:06
6.4%	3200	6.399999999999517	904.2960205078125	286.4242988107181	1.3e+03	0.41234588623046875	0:06
6.6%	3300	6.599999999999495	883.4642333984375	302.97421126475547	1.3e+03	0.4250679016113281	0:06
6.8%	3400	6.799999999999473	907.2820434570312	300.28782197886704	1.3e+03	0.4377720355987549	0:06
7.0%	3500	6.999999999999451	895.9886474609375	298.6428573067908	1.3e+03	0.4519619941711426	0:06
7.2%	3600	7.199999999999429	893.9527587890625	274.21061852363977	1.3e+03	0.4642610549926758	0:06
7.4%	3700	7.399999999999407	826.4766235351562	287.4743566926269	1.3e+03	0.4782378673553467	0:06
7.6%	3800	7.599999999999385	841.4974365234375	267.48749222323187	1.3e+03	0.4922637939453125	0:06
7.8%	3900	7.799999999999363	829.1029663085938	297.7885861264955	1.3e+03	0.5063228607177734	0:06
8.0%	4000	7.999999999999341	839.6976318359375	278.78234473994536	1.3e+03	0.5189018249511719	0:06
8.2%	4100	8.199999999999408	878.8837890625	270.0243406585876	1.3e+03	0.5320549011230469	0:06
8.4%	4200	8.399999999999475	788.26025390625	279.4972829957616	1.3e+03	0.5446310043334961	0:06
8.6%	4300	8.599999999999541	827.1929321289062	285.93776139604546	1.3e+03	0.5585887432098389	0:06
8.8%	4400	8.799999999999608	801.5823974609375	309.21383084335116	1.3e+03	0.57265305519104	0:06
9.0%	4500	8.999999999999675	838.3466796875	284.06502801180227	1.3e+03	0.5852248668670654	0:06
9.2%	4600	9.199999999999742	778.958251953125	345.1408510432094	1.3e+03	0.597524881362915	0:06
9.4%	4700	9.399999999999809	807.2318115234375	310.23171582206464	1.3e+03	0.6101360321044922	0:06
9.6%	4800	9.599999999999875	757.2144775390625	321.9182605203041	1.3e+03	0.6242117881774902	0:06
9.8%	4900	9.799999999999942	786.69970703125	279.73747605004854	1.3e+03	0.6367590427398682	0:05
10.0%	5000	10.000000000000009	807.1676635742188	254.8798131823679	1.3e+03	0.6494438648223877	0:05
10.2%	5100	10.200000000000076	752.3958740234375	269.53758591439123	1.3e+03	0.6631007194519043	0:05
10.4%	5200	10.400000000000142	806.5086669921875	262.20033887906305	1.3e+03	0.6771869659423828	0:05
10.6%	5300	10.60000000000021	744.2252807617188	290.96319596328766	1.3e+03	0.691291093826294	0:05
10.8%	5400	10.800000000000276	750.5804443359375	291.33779667804265	1.3e+03	0.7053039073944092	0:05
11.0%	5500	11.000000000000343	720.597900390625	280.40440973497385	1.3e+03	0.718095064163208	0:05
11.2%	5600	11.20000000000041	761.7479248046875	289.8725697260817	1.3e+03	0.7322311401367188	0:05
11.4%	5700	11.400000000000476	826.7068481445312	257.50798480695255	1.3e+03	0.7463159561157227	0:05
11.6%	5800	11.600000000000543	778.943359375	298.0865228450841	1.3e+03	0.7590560913085938	0:05
11.8%	5900	11.80000000000061	738.2821044921875	292.74212408232654	1.3e+03	0.7720639705657959	0:05
12.0%	6000	12.000000000000677	832.0827026367188	257.8186515395642	1.3e+03	0.7860708236694336	0:05
12.2%	6100	12.200000000000744	754.1311645507812	274.51317552802703	1.3e+03	0.7991368770599365	0:05
12.4%	6200	12.40000000000081	745.948974609375	277.4974561576729	1.3e+03	0.8129887580871582	0:05
12.6%	6300	12.600000000000877	753.793212890625	264.77564975580725	1.3e+03	0.8256618976593018	0:05
12.8%	6400	12.800000000000944	758.227294921875	274.4379324086391	1.3e+03	0.8394427299499512	0:05
13.0%	6500	13.00000000000101	791.9002685546875	254.05026321428247	1.3e+03	0.8521037101745605	0:05
13.2%	6600	13.200000000001078	778.2115478515625	247.03799332663576	1.3e+03	0.8646528720855713	0:05
13.4%	6700	13.400000000001144	801.85205078125	254.52220310557428	1.3e+03	0.8772940635681152	0:05
13.6%	6800	13.600000000001211	786.56396484375	270.1925958856285	1.3e+03	0.8915328979492188	0:05
13.8%	6900	13.800000000001278	714.1062622070312	298.01173168967074	1.3e+03	0.9041929244995117	0:05
