#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	100	0.20000000000000015	-1644.0947265625	536.9664484203769	0	0.0002219676971435547	--
0.4%	200	0.4000000000000003	-1676.709228515625	468.20434352034766	336	0.05142617225646973	0:25
0.6%	300	0.6000000000000004	-2970.69677734375	455.33338471398616	341	0.10144400596618652	0:25
0.8%	400	0.8000000000000006	-3481.85791015625	425.9857651548688	343	0.1512739658355713	0:25
1.0%	500	1.0000000000000007	-4377.2275390625	409.5183425759939	344	0.20095109939575195	0:24
1.2%	600	1.2000000000000008	-5147.29931640625	398.1416211724983	342	0.2525942325592041	0:24
1.4%	700	1.400000000000001	-5457.47802734375	372.27110304644356	341	0.30445218086242676	0:25
1.6%	800	1.6000000000000012	-6049.373046875	362.66545359262864	340	0.3562161922454834	0:25
1.8%	900	1.8000000000000014	-6509.560546875	355.09399914606513	339	0.407332181930542	0:24
2.0%	1000	2.0000000000000013	-6595.69091796875	341.4713037072065	339	0.4584481716156006	0:24
2.2%	1100	2.1999999999999793	-6905.40185546875	339.22546668548256	335	0.5157721042633057	0:25
2.4%	1200	2.3999999999999573	-7097.6162109375	337.2702549803883	336	0.5655810832977295	0:25
2.6%	1300	2.5999999999999353	-7089.27099609375	326.08281890696355	336	0.616847038269043	0:25
2.8%	1400	2.7999999999999132	-7309.97998046875	324.3199911368344	336	0.6679611206054688	0:24
3.0%	1500	2.999999999999891	-7428.95166015625	311.46132501202453	337	0.7186460494995117	0:24
3.2%	1600	3.199999999999869	-7597.6318359375	314.5401509828423	336	0.7704832553863525	0:24
3.4%	1700	3.399999999999847	-7819.18603515625	316.1407131532272	336	0.8223559856414795	0:24
3.6%	1800	3.599999999999825	-7847.03759765625	318.16522594115236	336	0.8734130859375	0:24
3.8%	1900	3.799999999999803	-8148.77099609375	312.0178794196263	336	0.924576997756958	0:24
4.0%	2000	3.999999999999781	-7944.66357421875	300.53998273519966	337	0.9750850200653076	0:24
4.2%	2100	4.1999999999997595	-8037.06591796875	302.9544275823022	337	1.025651216506958	0:24
4.4%	2200	4.3999999999997375	-8159.5009765625	299.14571551993714	337	1.0758981704711914	0:24
4.6%	2300	4.599999999999715	-8378.5029296875	305.06743789909615	338	1.1256811618804932	0:24
4.8%	2400	4.799999999999693	-8246.7255859375	302.6900306027201	338	1.1759600639343262	0:24
5.0%	2500	4.999999999999671	-8315.54296875	306.03690365660765	338	1.2262730598449707	0:24
5.2%	2600	5.199999999999649	-8394.8271484375	302.68564450025855	339	1.2760419845581055	0:24
5.4%	2700	5.399999999999627	-8206.6328125	294.53196691748695	339	1.326310157775879	0:24
5.6%	2800	5.599999999999605	-8332.216796875	296.5243925751911	339	1.376338243484497	0:24
5.8%	2900	5.799999999999583	-8438.8994140625	304.1168850398635	339	1.4264490604400635	0:23
6.0%	3000	5.999999999999561	-8643.787109375	299.8286951781408	339	1.4763801097869873	0:23
6.2%	3100	6.199999999999539	-8515.833984375	297.20856647647986	340	1.5266292095184326	0:23
6.4%	3200	6.399999999999517	-8360.994140625	298.7407893547832	339	1.5787739753723145	0:23
6.6%	3300	6.599999999999495	-8470.5732421875	299.764423983759	339	1.6302530765533447	0:23
6.8%	3400	6.799999999999473	-8308.59765625	293.65737454018455	339	1.6812081336975098	0:23
7.0%	3500	6.999999999999451	-8453.587890625	296.70559477512563	339	1.7305898666381836	0:23
7.2%	3600	7.199999999999429	-8630.490234375	303.10956245692853	339	1.7817301750183105	0:23
7.4%	3700	7.399999999999407	-8617.0126953125	301.66971926622614	339	1.832827091217041	0:23
7.6%	3800	7.599999999999385	-8628.86328125	309.48301456826374	339	1.8838419914245605	0:23
7.8%	3900	7.799999999999363	-8626.9091796875	306.9107589124444	339	1.9351441860198975	0:23
8.0%	4000	7.999999999999341	-8546.31640625	309.03282836006525	339	1.9872441291809082	0:23
8.2%	4100	8.199999999999408	-8483.70703125	306.24219022254806	339	2.0376651287078857	0:23
8.4%	4200	8.399999999999475	-8396.666015625	302.2229518582141	339	2.0884780883789062	0:23
8.6%	4300	8.599999999999541	-8560.6591796875	298.90365331621837	339	2.139925956726074	0:23
8.8%	4400	8.799999999999608	-8435.302734375	296.1762616275994	339	2.192171096801758	0:23
9.0%	4500	8.999999999999675	-8522.537109375	299.7378629515044	339	2.2424821853637695	0:23
9.2%	4600	9.199999999999742	-8556.724609375	293.72582704232616	339	2.292847156524658	0:23
9.4%	4700	9.399999999999809	-8647.58203125	303.5399808434255	339	2.3447210788726807	0:23
9.6%	4800	9.599999999999875	-8540.048828125	304.3864514713953	339	2.39591908454895	0:23
9.8%	4900	9.799999999999942	-8712.623046875	304.27740786030097	339	2.4459221363067627	0:22
10.0%	5000	10.000000000000009	-8717.66015625	305.4448996482399	339	2.4962592124938965	0:22
10.2%	5100	10.200000000000076	-8384.25	293.6367924922344	339	2.5473263263702393	0:22
10.4%	5200	10.400000000000142	-8551.625	299.12352417428866	339	2.5992681980133057	0:22
10.6%	5300	10.60000000000021	-8649.7470703125	302.47897017865597	339	2.649933099746704	0:22
10.8%	5400	10.800000000000276	-8739.9609375	303.23225277872643	339	2.699968099594116	0:22
11.0%	5500	11.000000000000343	-8683.439453125	299.10029127446114	339	2.7497920989990234	0:22
11.2%	5600	11.20000000000041	-8555.173828125	299.6030195346417	339	2.800532102584839	0:22
11.4%	5700	11.400000000000476	-8483.48828125	295.88117027528824	339	2.8510372638702393	0:22
11.6%	5800	11.600000000000543	-8533.9228515625	291.3779878283166	340	2.9012279510498047	0:22
11.8%	5900	11.80000000000061	-8802.5	303.5516236432987	339	2.9523751735687256	0:22
12.0%	6000	12.000000000000677	-8704.0673828125	294.8051189068399	339	3.0037529468536377	0:22
12.2%	6100	12.200000000000744	-8770.939453125	302.41159906097795	339	3.054492235183716	0:22
12.4%	6200	12.40000000000081	-8763.025390625	307.54192228080797	340	3.104739189147949	0:22
12.6%	6300	12.600000000000877	-8482.931640625	299.4470086764486	340	3.155419111251831	0:22
12.8%	6400	12.800000000000944	-8635.4423828125	307.0733011747396	339	3.2071149349212646	0:22
13.0%	6500	13.00000000000101	-8698.6015625	304.04629409096725	339	3.258373260498047	0:22
13.2%	6600	13.200000000001078	-8393.0361328125	299.80624327219437	339	3.3102619647979736	0:22
13.4%	6700	13.400000000001144	-8488.7724609375	309.59883247888723	339	3.3607332706451416	0:22
13.6%	6800	13.600000000001211	-8470.3935546875	311.54890021186117	339	3.412435293197632	0:22
13.8%	6900	13.800000000001278	-8564.0390625	308.0210100721107	339	3.4625320434570312	0:21
14.0%	7000	14.000000000001345	-8557.6611328125	307.837637676639	339	3.514275074005127	0:21
14.2%	7100	14.200000000001411	-8521.2001953125	295.6928256653579	339	3.5661990642547607	0:21
14.4%	7200	14.400000000001478	-8747.9580078125	297.0413498850668	339	3.616547107696533	0:21
14.6%	7300	14.600000000001545	-8652.3720703125	294.2251965048312	339	3.6675901412963867	0:21
14.8%	7400	14.800000000001612	-8770.732421875	300.70136059299057	339	3.71914005279541	0:21
15.0%	7500	15.000000000001679	-8747.7373046875	298.9324050136589	339	3.7697479724884033	0:21
15.2%	7600	15.200000000001745	-8855.021484375	300.57190942828095	339	3.8204352855682373	0:21
15.4%	7700	15.400000000001812	-8834.291015625	299.34514214946955	339	3.870899200439453	0:21
15.6%	7800	15.600000000001879	-8588.4453125	308.7517742056099	339	3.921483039855957	0:21
15.8%	7900	15.800000000001946	-8631.2802734375	304.9190743828155	339	3.972212076187134	0:21
16.0%	8000	16.00000000000201	-8647.37109375	305.97075502385417	339	4.022609233856201	0:21
16.2%	8100	16.2000000000019	-8503.1630859375	300.2796360464414	339	4.074618101119995	0:21
16.4%	8200	16.40000000000179	-8616.763671875	299.6464322912265	339	4.126253128051758	0:21
16.6%	8300	16.60000000000168	-8551.10546875	293.9735615402958	339	4.176472187042236	0:21
16.8%	8400	16.800000000001567	-8483.8076171875	296.6355266951066	339	4.2268500328063965	0:21
17.0%	8500	17.000000000001457	-8798.908203125	302.08112412817417	339	4.277159214019775	0:21
17.2%	8600	17.200000000001346	-8866.650390625	301.771202925453	339	4.328823089599609	0:21
17.4%	8700	17.400000000001235	-8798.9638671875	290.86284134693875	339	4.37897801399231	0:21
17.6%	8800	17.600000000001124	-8736.478515625	293.02877090558786	339	4.429141998291016	0:20
17.8%	8900	17.800000000001013	-8786.515625	299.45301002879415	339	4.480375051498413	0:20
18.0%	9000	18.000000000000902	-8622.240234375	292.38357282429	339	4.53067421913147	0:20
18.2%	9100	18.20000000000079	-8812.162109375	307.2028116853813	339	4.582340240478516	0:20
18.4%	9200	18.40000000000068	-8565.794921875	299.3949695274166	339	4.633341312408447	0:20
18.6%	9300	18.60000000000057	-8684.921875	292.7137556488558	339	4.684782028198242	0:20
18.8%	9400	18.80000000000046	-8637.47265625	303.116840190514	339	4.735424995422363	0:20
19.0%	9500	19.000000000000348	-8911.00390625	307.10940628750103	339	4.786631107330322	0:20
19.2%	9600	19.200000000000237	-8606.689453125	296.0369164229395	339	4.83779501914978	0:20
19.4%	9700	19.400000000000126	-8761.529296875	306.6291233276714	336	4.935035228729248	0:20
19.6%	9800	19.600000000000016	-8602.3857421875	301.06662806686785	336	4.985353946685791	0:20
19.8%	9900	19.799999999999905	-8537.126953125	299.63587534445304	336	5.037009239196777	0:20
20.0%	10000	19.999999999999794	-8492.9140625	301.344063054555	336	5.0874550342559814	0:20
20.2%	10100	20.199999999999683	-8598.6630859375	305.338583381161	336	5.139533996582031	0:20
20.4%	10200	20.399999999999572	-8429.240234375	299.4414539403885	336	5.189523935317993	0:20
20.6%	10300	20.59999999999946	-8567.9267578125	303.94915967087405	336	5.241127252578735	0:20
20.8%	10400	20.79999999999935	-8795.87109375	304.8826749856853	336	5.292872190475464	0:20
21.0%	10500	20.99999999999924	-8621.95703125	298.6613090550873	336	5.342755079269409	0:20
21.2%	10600	21.19999999999913	-8789.2109375	306.4804622627636	336	5.39397120475769	0:20
21.4%	10700	21.399999999999018	-8598.7177734375	301.21694076832966	336	5.444896936416626	0:20
21.6%	10800	21.599999999998907	-8491.7841796875	303.58454554458626	336	5.4949891567230225	0:20
21.8%	10900	21.799999999998796	-8654.93359375	307.2889941980029	336	5.546573162078857	0:20
22.0%	11000	21.999999999998685	-8421.3291015625	308.0529094822057	336	5.600865125656128	0:20
22.2%	11100	22.199999999998575	-8455.859375	310.85840922106536	336	5.652368068695068	0:19
22.4%	11200	22.399999999998464	-8596.60546875	304.47620042146536	336	5.703208923339844	0:19
22.6%	11300	22.599999999998353	-8775.029296875	317.3978561152543	336	5.755495309829712	0:19
22.8%	11400	22.799999999998242	-8748.53125	306.0053097214697	336	5.80824613571167	0:19
23.0%	11500	22.99999999999813	-8724.4345703125	298.50082080489386	336	5.860335111618042	0:19
23.2%	11600	23.19999999999802	-8926.2060546875	296.69739081643297	336	5.9122231006622314	0:19
23.4%	11700	23.39999999999791	-8895.654296875	295.66244224659454	336	5.9623003005981445	0:19
23.6%	11800	23.5999999999978	-8920.712890625	297.2441962491526	336	6.013590097427368	0:19
23.8%	11900	23.799999999997688	-8880.5380859375	301.576988297557	336	6.0638720989227295	0:19
