step,ns,e_pot,e_kin,e_tot,T,time_cost_so_far
50,9.999999999999999e-05,-406757.40625,9.458951950073242,-406747.9472980499,151.10987765706167,5.666551828384399
100,0.00019999999999999998,-406757.84375,9.922622680664062,-406747.92112731934,158.51717053079244,10.743492126464844
150,0.0003,-406759.3125,11.257204055786133,-406748.0552959442,179.8375482409813,15.82831621170044
200,0.00039999999999999996,-406760.0625,12.013386726379395,-406748.0491132736,191.91781584809746,20.79354763031006
250,0.0005,-406759.65625,11.599987030029297,-406748.05626296997,185.3136193294286,25.744149208068848
300,0.0006,-406758.9375,11.158162117004395,-406747.779337883,178.2553205976629,31.00618815422058
350,0.0007,-406756.5625,8.75016975402832,-406747.812330246,139.78684826700092,36.16401267051697
400,0.0007999999999999999,-406757.5625,9.733936309814453,-406747.8285636902,155.5028435138951,40.60602855682373
450,0.0009,-406759.3125,11.237306594848633,-406748.07519340515,179.51967973886585,44.91079545021057
500,0.001,-406758.90625,11.234529495239258,-406747.67172050476,179.4753146565154,49.159286975860596
550,0.0010999999999999998,-406756.34375,8.626604080200195,-406747.7171459198,137.8128458665938,53.28360652923584
600,0.0012,-406757.84375,10.059706687927246,-406747.7840433121,160.70713276716037,57.49450635910034
650,0.0013,-406758.65625,10.622003555297852,-406748.0342464447,169.69001071006645,61.64255952835083
700,0.0014,-406759.1875,11.10059928894043,-406748.08690071106,177.3357354309074,65.79480481147766
750,0.0015,-406759.875,11.967288970947266,-406747.90771102905,191.18138899865562,69.92523884773254
800,0.0015999999999999999,-406755.90625,8.221017837524414,-406747.6852321625,131.33347184782102,74.19970893859863
850,0.0017,-406759.53125,11.612767219543457,-406747.91848278046,185.51778707275918,78.51192378997803
900,0.0018,-406759.375,11.311576843261719,-406748.06342315674,180.70617145702857,82.9242422580719
950,0.0019,-406760.34375,12.36031436920166,-406747.9834356308,197.46009938431095,87.0920615196228
1000,0.002,-406758.4375,10.603676795959473,-406747.83382320404,169.3972346841293,91.27029061317444
1050,0.0021,-406757.34375,9.689897537231445,-406747.65385246277,154.7993095946712,95.35106801986694
1100,0.0021999999999999997,-406757.4375,9.737940788269043,-406747.69955921173,155.56681637817724,99.50557231903076
1150,0.0023,-406759.875,11.840690612792969,-406748.0343093872,189.15893846573664,103.833322763443
1200,0.0024,-406760.625,12.624946594238281,-406748.00005340576,201.68768647434686,108.07369256019592
