#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	100	0.20000000000000015	693.682373046875	226.22343412038632	0	0.00023698806762695312	--
0.4%	200	0.4000000000000003	746.1588134765625	234.42511966151343	1.32e+03	0.013150930404663086	0:06
0.6%	300	0.6000000000000004	758.8431396484375	225.210259235837	1.35e+03	0.025681018829345703	0:06
0.8%	400	0.8000000000000006	843.8765258789062	238.35487200862391	1.35e+03	0.0384669303894043	0:06
1.0%	500	1.0000000000000007	829.548095703125	276.1942975735383	1.35e+03	0.05128598213195801	0:06
1.2%	600	1.2000000000000008	878.750732421875	251.42359821881533	1.33e+03	0.06512808799743652	0:06
1.4%	700	1.400000000000001	874.5885009765625	275.3573483166002	1.33e+03	0.07819008827209473	0:06
1.6%	800	1.6000000000000012	886.0680541992188	277.0283862942156	1.32e+03	0.09178686141967773	0:06
1.8%	900	1.8000000000000014	848.0264892578125	267.8800592625521	1.31e+03	0.10536599159240723	0:06
2.0%	1000	2.0000000000000013	897.765380859375	283.0745234442564	1.31e+03	0.11839818954467773	0:06
2.2%	1100	2.1999999999999793	889.9681396484375	279.50383237806426	1.3e+03	0.1327810287475586	0:06
2.4%	1200	2.3999999999999573	889.0735473632812	279.57822042850813	1.3e+03	0.1465010643005371	0:06
2.6%	1300	2.5999999999999353	868.0670166015625	307.2592591011295	1.3e+03	0.15967726707458496	0:06
2.8%	1400	2.7999999999999132	870.0296630859375	318.27263307172706	1.3e+03	0.17324113845825195	0:06
3.0%	1500	2.999999999999891	930.673828125	286.77599481965996	1.29e+03	0.18709802627563477	0:06
3.2%	1600	3.199999999999869	896.7056274414062	291.95984541489025	1.29e+03	0.2011270523071289	0:06
3.4%	1700	3.399999999999847	948.255126953125	275.3274183542927	1.3e+03	0.21352791786193848	0:06
3.6%	1800	3.599999999999825	888.1156005859375	264.02911249899677	1.29e+03	0.22699999809265137	0:06
3.8%	1900	3.799999999999803	886.6935424804688	282.477625536145	1.29e+03	0.24045801162719727	0:06
4.0%	2000	3.999999999999781	905.1632080078125	296.5409573806364	1.3e+03	0.25284504890441895	0:06
4.2%	2100	4.1999999999997595	902.1329345703125	298.4070995921412	1.3e+03	0.26689815521240234	0:06
4.4%	2200	4.3999999999997375	902.569091796875	310.2142729096383	1.3e+03	0.28005218505859375	0:06
4.6%	2300	4.599999999999715	867.0243530273438	309.3367572546716	1.3e+03	0.2924468517303467	0:06
4.8%	2400	4.799999999999693	893.7354125976562	298.66716620936637	1.3e+03	0.30550217628479004	0:06
5.0%	2500	4.999999999999671	894.3221435546875	271.7899218231097	1.3e+03	0.31921911239624023	0:06
5.2%	2600	5.199999999999649	887.148193359375	297.8779370404209	1.3e+03	0.33296823501586914	0:06
5.4%	2700	5.399999999999627	889.35693359375	279.5361985497426	1.3e+03	0.34634900093078613	0:06
5.6%	2800	5.599999999999605	871.6070556640625	304.5595833061306	1.3e+03	0.35909128189086914	0:06
5.8%	2900	5.799999999999583	849.367431640625	328.5291620191108	1.3e+03	0.37285494804382324	0:06
6.0%	3000	5.999999999999561	893.6610717773438	313.91759022710755	1.3e+03	0.3861391544342041	0:06
6.2%	3100	6.199999999999539	897.4559326171875	337.48224796922364	1.3e+03	0.40030884742736816	0:06
6.4%	3200	6.399999999999517	942.5148315429688	299.98246908310614	1.29e+03	0.4142179489135742	0:06
6.6%	3300	6.599999999999495	915.8562622070312	331.12672907663665	1.29e+03	0.42707395553588867	0:06
6.8%	3400	6.799999999999473	918.0101928710938	309.6638543630047	1.29e+03	0.4412400722503662	0:06
7.0%	3500	6.999999999999451	958.6019287109375	278.66937592081126	1.29e+03	0.4544382095336914	0:06
7.2%	3600	7.199999999999429	1013.9219360351562	260.9417938419723	1.29e+03	0.46807384490966797	0:06
7.4%	3700	7.399999999999407	930.164794921875	279.838876671915	1.29e+03	0.48115086555480957	0:06
7.6%	3800	7.599999999999385	943.2211303710938	312.9773430131983	1.29e+03	0.49407005310058594	0:06
7.8%	3900	7.799999999999363	958.6571044921875	316.94184847851875	1.29e+03	0.5081009864807129	0:06
8.0%	4000	7.999999999999341	956.697021484375	311.16091904770497	1.29e+03	0.5224649906158447	0:06
8.2%	4100	8.199999999999408	948.1949462890625	316.5540595052135	1.29e+03	0.5359189510345459	0:06
8.4%	4200	8.399999999999475	957.13818359375	317.8419764890057	1.29e+03	0.5502681732177734	0:06
8.6%	4300	8.599999999999541	908.6551513671875	307.0198821492415	1.29e+03	0.5637569427490234	0:06
8.8%	4400	8.799999999999608	902.4346313476562	316.69928740434983	1.29e+03	0.5761451721191406	0:06
9.0%	4500	8.999999999999675	959.66650390625	330.0873013366316	1.29e+03	0.5899381637573242	0:06
9.2%	4600	9.199999999999742	925.51025390625	314.08737184116524	1.28e+03	0.6053328514099121	0:06
9.4%	4700	9.399999999999809	958.158203125	299.23309003736654	1.28e+03	0.619516134262085	0:06
9.6%	4800	9.599999999999875	930.5711669921875	328.64488564662923	1.28e+03	0.6362910270690918	0:06
9.8%	4900	9.799999999999942	963.18212890625	299.8818832696012	1.28e+03	0.6504812240600586	0:06
10.0%	5000	10.000000000000009	1003.23779296875	281.6329538523838	1.28e+03	0.6638860702514648	0:06
10.2%	5100	10.200000000000076	908.64501953125	279.65757465891625	1.27e+03	0.677962064743042	0:06
10.4%	5200	10.400000000000142	892.10009765625	288.829581254662	1.28e+03	0.6902310848236084	0:06
10.6%	5300	10.60000000000021	904.410888671875	271.8353163782943	1.28e+03	0.7044451236724854	0:06
10.8%	5400	10.800000000000276	875.1128540039062	323.91555448775995	1.28e+03	0.7169680595397949	0:06
11.0%	5500	11.000000000000343	891.9778442382812	285.70749282741474	1.28e+03	0.7294440269470215	0:06
11.2%	5600	11.20000000000041	900.5997314453125	295.61731145758785	1.28e+03	0.7432990074157715	0:06
11.4%	5700	11.400000000000476	921.5332641601562	259.00103646612195	1.28e+03	0.7573261260986328	0:05
