step,ns,e_pot,e_kin,e_tot,T,time_cost_so_far
50,9.999999999999999e-05,987.8421173095703,2084.103759765625,3071.9458770751953,333.25984084670284,94.38753414154053
100,0.00019999999999999998,935.8309173583984,2130.081298828125,3065.9122161865234,340.6119063466542,154.65314102172852
150,0.0003,871.5428848266602,2200.2197265625,3071.76261138916,351.82743299904337,214.85751509666443
200,0.00039999999999999996,914.2095794677734,2164.857421875,3079.0670013427734,346.1728028123706,275.0390610694885
250,0.0005,914.0031356811523,2165.55908203125,3079.5622177124023,346.2850021934737,335.62399315834045
300,0.0006,874.1582717895508,2208.2607421875,3082.419013977051,353.11323634490685,397.1015770435333
350,0.0007,862.4261703491211,2218.061279296875,3080.487449645996,354.6803970114419,458.6148579120636
400,0.0007999999999999999,879.4145736694336,2200.019775390625,3079.4343490600586,351.7954596889795,520.0214030742645
450,0.0009,827.2107238769531,2254.04833984375,3081.259063720703,360.4349291522701,581.9621939659119
500,0.001,895.4822998046875,2188.14208984375,3083.6243896484375,349.8961513765067,644.5147452354431
