#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	100	0.20000000000000015	-1927.6583251953125	533.3449834747269	0	0.0002543926239013672	--
0.4%	200	0.4000000000000003	-1683.3125	468.123001940103	346	0.0499272346496582	0:24
0.6%	300	0.6000000000000004	-3257.2333984375	453.5785309088061	344	0.10042905807495117	0:24
0.8%	400	0.8000000000000006	-3510.468017578125	416.4616928263219	342	0.15140223503112793	0:25
1.0%	500	1.0000000000000007	-4802.287109375	402.7384377747558	341	0.20264220237731934	0:25
1.2%	600	1.2000000000000008	-5441.94677734375	380.132139902852	341	0.2534830570220947	0:25
1.4%	700	1.400000000000001	-5484.63330078125	353.7899653828372	341	0.30394625663757324	0:24
1.6%	800	1.6000000000000012	-6355.1435546875	351.52016621374935	341	0.35463809967041016	0:24
1.8%	900	1.8000000000000014	-6445.3330078125	336.93869035079257	340	0.4066600799560547	0:24
2.0%	1000	2.0000000000000013	-6782.6923828125	333.9746311822155	340	0.45760512351989746	0:24
2.2%	1100	2.1999999999999793	-6980.11669921875	332.42247850480294	336	0.5148861408233643	0:25
2.4%	1200	2.3999999999999573	-7307.84765625	330.1157533734869	336	0.5663070678710938	0:25
2.6%	1300	2.5999999999999353	-7441.90478515625	331.16340873766757	336	0.6173670291900635	0:25
2.8%	1400	2.7999999999999132	-7397.8857421875	324.01740693245694	337	0.6674821376800537	0:24
3.0%	1500	2.999999999999891	-7668.2890625	325.37520837676743	336	0.7192461490631104	0:24
3.2%	1600	3.199999999999869	-7688.7177734375	312.63627137572763	337	0.7695033550262451	0:24
3.4%	1700	3.399999999999847	-7809.580078125	313.3913237196189	337	0.8210663795471191	0:24
3.6%	1800	3.599999999999825	-7809.169921875	313.939184153734	337	0.8723342418670654	0:24
3.8%	1900	3.799999999999803	-7948.3642578125	316.8253339352572	337	0.9234433174133301	0:24
4.0%	2000	3.999999999999781	-7976.087890625	311.69781232280013	337	0.9739372730255127	0:24
4.2%	2100	4.1999999999997595	-7761.5078125	303.9952925035708	337	1.0251703262329102	0:24
4.4%	2200	4.3999999999997375	-8152.73828125	307.20913723593446	338	1.0750062465667725	0:24
4.6%	2300	4.599999999999715	-8107.20751953125	307.87979053017085	338	1.1253383159637451	0:24
4.8%	2400	4.799999999999693	-8003.0302734375	311.57913434352184	338	1.176403284072876	0:24
5.0%	2500	4.999999999999671	-7899.36181640625	303.5489817849935	338	1.2274501323699951	0:24
5.2%	2600	5.199999999999649	-8208.2060546875	317.0632608860654	338	1.278590202331543	0:24
5.4%	2700	5.399999999999627	-7859.46728515625	306.3815707803099	338	1.3290801048278809	0:24
5.6%	2800	5.599999999999605	-8067.6337890625	308.0567867046934	338	1.3797340393066406	0:24
5.8%	2900	5.799999999999583	-8064.01220703125	309.78903678432306	338	1.4295732975006104	0:24
6.0%	3000	5.999999999999561	-8083.98974609375	313.0912197618439	338	1.4805450439453125	0:23
6.2%	3100	6.199999999999539	-8120.20458984375	311.6615456595145	338	1.5325350761413574	0:23
6.4%	3200	6.399999999999517	-7891.65869140625	310.65223451055203	338	1.5829823017120361	0:23
6.6%	3300	6.599999999999495	-8034.6650390625	314.4929138980588	338	1.63431715965271	0:23
6.8%	3400	6.799999999999473	-7930.2265625	299.7330738540887	338	1.6850030422210693	0:23
7.0%	3500	6.999999999999451	-8048.388671875	306.98804543240175	338	1.7363502979278564	0:23
7.2%	3600	7.199999999999429	-8334.595703125	311.87608077019195	338	1.7868661880493164	0:23
7.4%	3700	7.399999999999407	-8209.66015625	300.4420939471383	339	1.8366494178771973	0:23
7.6%	3800	7.599999999999385	-8113.88330078125	301.77908258374083	339	1.8872103691101074	0:23
7.8%	3900	7.799999999999363	-8339.8232421875	308.7783748550745	339	1.9391162395477295	0:23
8.0%	4000	7.999999999999341	-8272.49609375	301.81470946312595	339	1.9898502826690674	0:23
8.2%	4100	8.199999999999408	-8207.994140625	301.70391068513	339	2.0413482189178467	0:23
8.4%	4200	8.399999999999475	-8394.2939453125	308.0169718280995	338	2.094177007675171	0:23
8.6%	4300	8.599999999999541	-8282.1494140625	296.19283728651084	338	2.145369291305542	0:23
8.8%	4400	8.799999999999608	-8375.947265625	301.44735314299464	338	2.1975691318511963	0:23
9.0%	4500	8.999999999999675	-8599.193359375	305.69402041407113	338	2.249558210372925	0:23
9.2%	4600	9.199999999999742	-8560.6572265625	302.2731726282678	338	2.3005833625793457	0:23
9.4%	4700	9.399999999999809	-8512.634765625	293.5593791223841	338	2.350064277648926	0:23
9.6%	4800	9.599999999999875	-8506.7099609375	298.21588768394724	338	2.40081524848938	0:23
9.8%	4900	9.799999999999942	-8460.21484375	299.25855743694825	339	2.450198173522949	0:23
10.0%	5000	10.000000000000009	-8292.6708984375	303.80316184968495	339	2.5009353160858154	0:22
10.2%	5100	10.200000000000076	-8461.083984375	309.19748147566446	338	2.5529043674468994	0:22
10.4%	5200	10.400000000000142	-8346.025390625	300.26491650172903	338	2.603800058364868	0:22
10.6%	5300	10.60000000000021	-8541.583984375	308.2466061643021	339	2.6538302898406982	0:22
10.8%	5400	10.800000000000276	-8605.189453125	293.93527101077996	339	2.704090118408203	0:22
11.0%	5500	11.000000000000343	-8485.9580078125	297.72898732600305	339	2.7540433406829834	0:22
11.2%	5600	11.20000000000041	-8512.7041015625	311.4688679858292	339	2.803697347640991	0:22
11.4%	5700	11.400000000000476	-8359.958984375	296.2706093694876	339	2.8546292781829834	0:22
11.6%	5800	11.600000000000543	-8506.232421875	295.5788208006708	339	2.9058821201324463	0:22
11.8%	5900	11.80000000000061	-8672.2646484375	298.3790410667659	339	2.955918073654175	0:22
12.0%	6000	12.000000000000677	-8742.4384765625	298.24736147604574	339	3.0058443546295166	0:22
12.2%	6100	12.200000000000744	-8713.140625	300.2847893599046	339	3.0564992427825928	0:22
12.4%	6200	12.40000000000081	-8861.564453125	305.7748844025668	339	3.1075382232666016	0:22
12.6%	6300	12.600000000000877	-8446.755859375	293.33581372692447	339	3.1575894355773926	0:22
12.8%	6400	12.800000000000944	-8594.205078125	300.89980714418454	339	3.2085602283477783	0:22
13.0%	6500	13.00000000000101	-8706.6416015625	303.5197279018354	339	3.2586281299591064	0:22
13.2%	6600	13.200000000001078	-8622.1767578125	296.81237226067026	340	3.3080263137817383	0:22
13.4%	6700	13.400000000001144	-8802.978515625	295.5940352925491	340	3.3576130867004395	0:22
13.6%	6800	13.600000000001211	-8643.7294921875	295.9519076328313	340	3.4085581302642822	0:21
13.8%	6900	13.800000000001278	-8936.99609375	292.53488951391273	340	3.459548234939575	0:21
14.0%	7000	14.000000000001345	-8903.142578125	301.2793753496843	340	3.5090343952178955	0:21
14.2%	7100	14.200000000001411	-8929.0166015625	301.6297151465672	340	3.5596563816070557	0:21
14.4%	7200	14.400000000001478	-8820.70703125	289.8690159550869	340	3.6106534004211426	0:21
14.6%	7300	14.600000000001545	-8783.375	295.5900093170873	340	3.6603944301605225	0:21
14.8%	7400	14.800000000001612	-8701.39453125	287.66493057758606	340	3.711160182952881	0:21
15.0%	7500	15.000000000001679	-8924.515625	296.3981769942412	340	3.761686086654663	0:21
15.2%	7600	15.200000000001745	-8650.3671875	292.86144309044226	340	3.8113162517547607	0:21
15.4%	7700	15.400000000001812	-8894.796875	294.4662159181219	340	3.862037420272827	0:21
15.6%	7800	15.600000000001879	-8708.248046875	297.00484563509167	340	3.911604404449463	0:21
15.8%	7900	15.800000000001946	-8746.83984375	298.4163201870306	340	3.9616682529449463	0:21
16.0%	8000	16.00000000000201	-8659.43359375	298.4895612423372	340	4.011473178863525	0:21
16.2%	8100	16.2000000000019	-8680.3115234375	301.0227821318707	340	4.0626983642578125	0:21
16.4%	8200	16.40000000000179	-8598.794921875	298.0053503404192	340	4.112077236175537	0:21
16.6%	8300	16.60000000000168	-8763.2724609375	299.60800249755084	340	4.1617372035980225	0:21
16.8%	8400	16.800000000001567	-8716.1943359375	302.6992084668216	341	4.211456060409546	0:21
17.0%	8500	17.000000000001457	-8533.548828125	294.65833497706376	341	4.261656284332275	0:21
17.2%	8600	17.200000000001346	-8745.48046875	300.0941196622652	341	4.312801122665405	0:21
17.4%	8700	17.400000000001235	-8638.783203125	295.08130841826005	341	4.364045143127441	0:20
17.6%	8800	17.600000000001124	-8793.3232421875	301.20505641776526	341	4.414739370346069	0:20
17.8%	8900	17.800000000001013	-8702.337890625	300.6350509727305	340	4.466198205947876	0:20
18.0%	9000	18.000000000000902	-8466.4453125	300.620043799954	340	4.517422199249268	0:20
18.2%	9100	18.20000000000079	-8631.138671875	295.5840986060697	340	4.5700953006744385	0:20
18.4%	9200	18.40000000000068	-8759.95703125	296.3406859795301	340	4.6208412647247314	0:20
18.6%	9300	18.60000000000057	-8953.7509765625	302.7402297871144	340	4.671516180038452	0:20
18.8%	9400	18.80000000000046	-8768.0126953125	293.51251838110926	340	4.721841335296631	0:20
19.0%	9500	19.000000000000348	-8869.57421875	306.7169081439225	340	4.773245334625244	0:20
19.2%	9600	19.200000000000237	-8702.4609375	304.63607053969315	340	4.824979305267334	0:20
19.4%	9700	19.400000000000126	-8505.18359375	296.50139666059414	337	4.921893119812012	0:20
19.6%	9800	19.600000000000016	-8515.6376953125	302.7271126267602	337	4.971806287765503	0:20
19.8%	9900	19.799999999999905	-8410.4609375	293.72643797420386	337	5.0209362506866455	0:20
20.0%	10000	19.999999999999794	-8632.6953125	304.6141047394099	337	5.070763111114502	0:20
20.2%	10100	20.199999999999683	-8685.90234375	303.0134827135801	337	5.12115216255188	0:20
20.4%	10200	20.399999999999572	-8641.111328125	297.07659043307666	337	5.171842098236084	0:20
20.6%	10300	20.59999999999946	-8697.625	297.47956498682714	337	5.223550319671631	0:20
20.8%	10400	20.79999999999935	-8831.984375	301.6351748197267	337	5.27369236946106	0:20
21.0%	10500	20.99999999999924	-8764.90625	303.2027978338819	338	5.323037385940552	0:20
21.2%	10600	21.19999999999913	-8598.1201171875	302.14414634201677	338	5.374571084976196	0:20
21.4%	10700	21.399999999999018	-8616.0078125	301.1367705131138	338	5.423953294754028	0:20
21.6%	10800	21.599999999998907	-8463.70703125	300.12080179882497	338	5.475367307662964	0:20
21.8%	10900	21.799999999998796	-8558.818359375	297.03771050244916	338	5.525876998901367	0:20
22.0%	11000	21.999999999998685	-8438.626953125	307.0339673711893	338	5.577078104019165	0:19
22.2%	11100	22.199999999998575	-8509.228515625	313.3433418248279	338	5.627583265304565	0:19
22.4%	11200	22.399999999998464	-8434.39453125	296.49836056393804	338	5.67896032333374	0:19
22.6%	11300	22.599999999998353	-8502.017578125	301.55068595858523	338	5.727856159210205	0:19
22.8%	11400	22.799999999998242	-8635.822265625	304.99842269431196	338	5.777500152587891	0:19
23.0%	11500	22.99999999999813	-8713.5966796875	300.3710573003697	338	5.827247142791748	0:19
23.2%	11600	23.19999999999802	-8626.837890625	302.8350251737996	338	5.878575325012207	0:19
23.4%	11700	23.39999999999791	-8487.685546875	307.3554471096865	338	5.928997278213501	0:19
23.6%	11800	23.5999999999978	-8561.1259765625	310.4704078581839	338	5.980255365371704	0:19
23.8%	11900	23.799999999997688	-8522.2880859375	304.14266395385795	338	6.029583215713501	0:19
24.0%	12000	23.999999999997577	-8649.279296875	305.20724837111874	338	6.080164194107056	0:19
24.2%	12100	24.199999999997466	-8920.669921875	307.6937056187805	338	6.131622314453125	0:19
24.4%	12200	24.399999999997355	-8842.1513671875	301.0426068985699	338	6.183010101318359	0:19
24.6%	12300	24.599999999997245	-8751.837890625	297.6041470032981	338	6.233572244644165	0:19
24.8%	12400	24.799999999997134	-8767.939453125	302.46231004056085	338	6.2843382358551025	0:19
25.0%	12500	24.999999999997023	-8687.3193359375	296.4710395698632	338	6.333750009536743	0:19
25.2%	12600	25.199999999996912	-8599.134765625	295.76383703508014	338	6.383594274520874	0:19
25.4%	12700	25.3999999999968	-8985.88671875	301.0836534367779	338	6.432972192764282	0:19
25.6%	12800	25.59999999999669	-8602.6943359375	294.8034069324452	339	6.483091354370117	0:18
25.8%	12900	25.79999999999658	-8963.953125	295.65704660770126	339	6.533871173858643	0:18
26.0%	13000	25.99999999999647	-8681.669921875	292.51469839830196	339	6.583278179168701	0:18
26.2%	13100	26.199999999996358	-8715.78125	303.0992085356456	339	6.634676218032837	0:18
26.4%	13200	26.399999999996247	-8658.240234375	311.6773222634911	339	6.684293270111084	0:18
