step,ns,e_pot,e_kin,e_tot,T,time_cost_so_far
50,9.999999999999999e-05,410.36819887161255,68.5880126953125,478.95621156692505,150.39240974663736,1.145024061203003
100,0.00019999999999999998,402.9423580169678,76.08290100097656,479.02525901794434,166.82639389016313,1.7173209190368652
150,0.0003,396.90211153030396,80.31574249267578,477.21785402297974,176.10771298654953,2.2619102001190186
200,0.00039999999999999996,392.4720573425293,84.29790496826172,476.769962310791,184.8393701256247,2.838881015777588
250,0.0005,402.6362156867981,75.84911346435547,478.48532915115356,166.3137697504703,3.394804000854492
300,0.0006,400.46494817733765,77.8438491821289,478.30879735946655,170.68761147025143,3.935532808303833
350,0.0007,401.08558917045593,77.18102264404297,478.2666118144989,169.2342368004007,4.4766459465026855
400,0.0007999999999999999,405.758620262146,73.74846649169922,479.5070867538452,161.70769723386064,5.0591089725494385
450,0.0009,402.25735306739807,76.8034896850586,479.06084275245667,168.40642317482357,5.6353161334991455
500,0.001,405.28265476226807,73.04446411132812,478.3271188735962,160.16403661022207,6.185856103897095
550,0.0010999999999999998,409.38877058029175,70.24556732177734,479.6343379020691,154.02691707181856,6.751591920852661
600,0.0012,398.7711486816406,80.23854064941406,479.0096893310547,175.93843309654034,7.2926459312438965
650,0.0013,402.7284371852875,76.07762908935547,478.80606627464294,166.81483420995795,7.830174922943115
700,0.0014,401.8296535015106,77.7415771484375,479.5712306499481,170.46336036583662,8.372161865234375
750,0.0015,407.94619274139404,72.22579193115234,480.1719846725464,158.36894039543432,8.915990114212036
800,0.0015999999999999999,400.3192422389984,78.1163558959961,478.4355981349945,171.28513485313002,9.462333917617798
850,0.0017,402.21040534973145,76.6028823852539,478.81328773498535,167.9665530860893,10.00904893875122
900,0.0018,406.6918318271637,73.01943969726562,479.7112715244293,160.10916576930595,10.549136877059937
950,0.0019,399.1640524864197,79.78633117675781,478.9503836631775,174.94687685179034,11.08373475074768
1000,0.002,408.2319049835205,71.48395538330078,479.7158603668213,156.74232108273992,11.62528109550476
1050,0.0021,406.8285186290741,72.67320251464844,479.50172114372253,159.34997415270377,12.159595012664795
1100,0.0021999999999999997,406.68374156951904,73.15055847167969,479.83430004119873,160.3966689010085,12.70717191696167
1150,0.0023,394.5365002155304,83.57791137695312,478.1144115924835,183.26064569632751,13.241071939468384
1200,0.0024,409.55306339263916,69.77597045898438,479.32903385162354,152.99723562998082,13.776461839675903
1250,0.0025,408.69047689437866,70.92298889160156,479.6134657859802,155.5122941558987,14.310688018798828
1300,0.0026,407.91191053390503,70.14543914794922,478.05734968185425,153.80736679249446,14.847575902938843
1350,0.0026999999999999997,403.9292993545532,75.44865417480469,479.3779535293579,165.4356857355782,15.417760133743286
1400,0.0028,405.5757005214691,73.65972900390625,479.23542952537537,161.51312322450232,15.95320200920105
1450,0.0029,404.0170021057129,75.07627868652344,479.0932807922363,164.61918085648256,16.487825870513916
1500,0.003,404.58061361312866,74.88070678710938,479.46132040023804,164.19035185159117,17.021662950515747
1550,0.0031,402.88347864151,76.17420196533203,479.05768060684204,167.02658881493238,17.555972814559937
1600,0.0031999999999999997,409.6834764480591,70.06208801269531,479.7455644607544,153.62460339706502,18.091105937957764
1650,0.0033,401.24308133125305,76.77951049804688,478.0225918292999,168.3538441952506,18.624825954437256
1700,0.0034,405.50483798980713,74.88533782958984,480.390175819397,164.20050630294364,19.154680967330933
1750,0.0034999999999999996,404.09808707237244,75.74707794189453,479.84516501426697,166.09003724241782,19.69187903404236
1800,0.0036,405.1688151359558,73.9394760131836,479.1082911491394,162.12652234763377,20.225676774978638
1850,0.0036999999999999997,409.9433162212372,69.26318359375,479.2064998149872,151.872851800818,20.76105499267578
1900,0.0038,410.79976081848145,68.89334106445312,479.69310188293457,151.0619009214736,21.294336080551147
1950,0.0039,418.2817907333374,61.95168685913086,480.23347759246826,135.8409889495243,21.827959060668945
2000,0.004,397.0703868865967,82.03317260742188,479.10355949401855,179.8735088359715,22.362947940826416
2050,0.0040999999999999995,414.9851357936859,65.53623962402344,480.52137541770935,143.70081032342756,22.913070917129517
2100,0.0042,407.03270387649536,72.45664978027344,479.4893536567688,158.8751406318004,23.447006940841675
2150,0.0043,413.88839077949524,65.78845977783203,479.67685055732727,144.2538515215513,23.97945785522461
2200,0.004399999999999999,410.7921802997589,69.62202453613281,480.4142048358917,152.65967958485723,24.514065980911255
2250,0.0045,409.33430528640747,70.32123565673828,479.65554094314575,154.19283444993016,25.049917936325073
2300,0.0046,413.45020294189453,66.95982360839844,480.41002655029297,146.822292014958,25.62203598022461
2350,0.0047,414.1672520637512,65.02672576904297,479.1939778327942,142.58360319876263,26.155866861343384
2400,0.0048,408.402170419693,71.43648529052734,479.83865571022034,156.63823377414843,26.715579986572266
2450,0.0049,415.43045139312744,64.91412353515625,480.3445749282837,142.33670114355505,27.27780795097351
2500,0.005,412.20218086242676,67.53141784667969,479.73359870910645,148.07562232027368,27.832012176513672
2550,0.0050999999999999995,410.5958240032196,69.41590118408203,480.01172518730164,152.20771449064054,28.395116806030273
2600,0.0052,409.40625286102295,70.20833587646484,479.6145887374878,153.94527996704093,28.988286018371582
